Image,Name,Length µm
IMG_20220807_155019762.jpg,br-op_06aug_pl-1_f,10000
IMG_20220807_155019762.jpg,standard,24986.2
IMG_20220807_155019762.jpg,total,31792.6
IMG_20220807_155214400.jpg,br-op_06aug_pl-02_m,10000
IMG_20220807_155214400.jpg,standard,32052.9
IMG_20220807_155214400.jpg,total,35514.4
IMG_20220807_155430263.jpg,brop_06aug_pf-01_f,10000
IMG_20220807_155430263.jpg,standard,25352.9
IMG_20220807_155430263.jpg,total,29732.1
IMG_20220807_155833743.jpg,br-op_06aug_pl-03_f,10000
IMG_20220807_155833743.jpg,standard,48183.1
IMG_20220807_155833743.jpg,total,53748.7
IMG_20220807_160053392.jpg,br-op_06aug_pf-02_f,10000
IMG_20220807_160053392.jpg,standard,25212.3
IMG_20220807_160053392.jpg,total,29804
IMG_20220807_160250102.jpg,br-op_06aug_pl-04_f,10000
IMG_20220807_160250102.jpg,standard,26967.6
IMG_20220807_160250102.jpg,total,30149.6
IMG_20220807_173221938.jpg,wes_06aug_pf-3_f,10000
IMG_20220807_173221938.jpg,standard,40051.5
IMG_20220807_173221938.jpg,total,47363.5
IMG_20220807_173630504.jpg,wes_06aug_pf-04,10000
IMG_20220807_173630504.jpg,standard,25024.7
IMG_20220807_173630504.jpg,total,32341.7
IMG_20220807_173808333.jpg,wes_06aug_pl-05_m,10000
IMG_20220807_173808333.jpg,standard,27323.3
IMG_20220807_173808333.jpg,total,34409.3
IMG_20220807_174029799.jpg,wes_06aug_pf-05_f,10000
IMG_20220807_174029799.jpg,standard,26658.8
IMG_20220807_174029799.jpg,total,32382.4
IMG_20220807_174654766.jpg,wes_06aug_pf-06_f,10000
IMG_20220807_174654766.jpg,standard,59655.6
IMG_20220807_174654766.jpg,total,68635.3
IMG_20220807_174903697.jpg,wes_06aug_pl-06_f,10000
IMG_20220807_174903697.jpg,standard,48106.5
IMG_20220807_174903697.jpg,total,55842.6
IMG_20220807_175021927.jpg,wes_06aug_pf-07_f,10000
IMG_20220807_175021927.jpg,standard,41751.3
IMG_20220807_175021927.jpg,total,49135.7
IMG_20220807_175218619.jpg,wes_06aug_pf-08_f,10000
IMG_20220807_175218619.jpg,standard,24673.2
IMG_20220807_175218619.jpg,total,33654.6
IMG_20220807_175946676.jpg,br-op_06aug_pl-07_f,10000
IMG_20220807_175946676.jpg,standard,25772
IMG_20220807_175946676.jpg,total,35281.1
IMG_20220807_180259438.jpg,brop_06aug_pl-08_m,10000
IMG_20220807_180259438.jpg,standard,21657.2
IMG_20220807_180259438.jpg,total,24995
IMG_20220807_180419424.jpg,br-op_06aug_pl-09_f,10000
IMG_20220807_180419424.jpg,standard,30475.1
IMG_20220807_180419424.jpg,total,33774.6
IMG_20220807_180825578.jpg,br-op_06aug_pl-10_f,10000
IMG_20220807_180825578.jpg,standard,30554.9
IMG_20220807_180825578.jpg,total,33393.6
IMG_20220807_181156610.jpg,br-op_06aug_pl-11_f,10000
IMG_20220807_181156610.jpg,standard,30090.2
IMG_20220807_181156610.jpg,total,34973.4
IMG_20220807_181432107.jpg,br-op_06aug_pl-12_f,10000
IMG_20220807_181432107.jpg,standard,33025.8
IMG_20220807_181432107.jpg,total,39336.9
IMG_20220807_181639661.jpg,br-op_06aug_pl-13_m,10000
IMG_20220807_181639661.jpg,standard,29190.3
IMG_20220807_181639661.jpg,total,36410.1
