Observation id,Observation date,Description,Media file,Total length,FPS,Subject,Behavior,Behavioral category,Modifiers,Behavior type,Start (s),Stop (s),Duration (s),Comment start,Comment stop
WES_trial2_02_20220812_NR,2023-08-10 09:48:14,,/Users/queen_nishika/Downloads/WES_trial2_02_20220812.mov,2054.300,30.0,Pool 6,Hiding,,,STATE,678.419,718.697,40.278,,
WES_trial1_05_20220812,2023-08-18 13:15:40,,/Users/queen_nishika/Downloads/WES_trial1_05_20220812.mov,2197.000,30.0,Pool 6,Open,,,STATE,680.160,695.669,15.509,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 6,Open,,,STATE,680.634,701.656,21.022,,
WES_trial2_01_20220812_NR,2023-08-09 11:08:37,,/Users/queen_nishika/Downloads/WES_trial2_01_20220812.mov,2021.630,30.0,Pool 6,Hiding,,,STATE,683.657,1070.431,386.774,,
WES_trial1_05_20220812,2023-08-18 13:15:40,,/Users/queen_nishika/Downloads/WES_trial1_05_20220812.mov,2197.000,30.0,Pool 3,Hiding,,,STATE,690.432,803.167,112.735,,
WES_trial2_02_20220812_NR,2023-08-10 09:48:14,,/Users/queen_nishika/Downloads/WES_trial2_02_20220812.mov,2054.300,30.0,Pool 3,Hiding,,,STATE,692.408,898.685,206.277,,
WES_trial2_01_20220812_NR,2023-08-09 11:08:37,,/Users/queen_nishika/Downloads/WES_trial2_01_20220812.mov,2021.630,30.0,Pool 3,Hiding,,,STATE,692.901,2020.973,1328.072,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 5,Open,,,STATE,693.381,705.884,12.503,,
WES_trial1_04_20220812_NR,2023-08-15 10:48:35,,/Users/queen_nishika/Downloads/WES_trial1_04_20220812.mov,2159.581,30.0,Pool 6,Open,,,STATE,693.910,1045.699,351.789,,
WES_trial1_05_20220812,2023-08-18 13:15:40,,/Users/queen_nishika/Downloads/WES_trial1_05_20220812.mov,2197.000,30.0,Pool 6,Hiding,,,STATE,695.669,718.405,22.736,,
BR_trial1_02_20220808,2024-02-13 14:30:42,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial1_02_20220808.mov,2093.970,30.0,Pool 1,Open,,,STATE,695.676,745.927,50.251,,
WES_trial1_03_20220812_NR,2023-08-08 10:29:42,,/Users/queen_nishika/Downloads/WES_trial1_03_20220812.mov,1948.900,30.0,Pool 6,Hiding,,,STATE,700.410,1910.446,1210.036,,
WES_trial2_02_20220812_NR,2023-08-10 09:48:14,,/Users/queen_nishika/Downloads/WES_trial2_02_20220812.mov,2054.300,30.0,Pool 2,Hiding,,,STATE,700.661,805.916,105.255,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 6,Hiding,,,STATE,702.643,798.880,96.237,,
WES_trial3_02_20220809,2023-09-24 18:11:57,,/Users/queen_nishika/Downloads/WES_trial3_02_20220809.mov,2639.270,30.0,Pool 6,Open,,,STATE,704.670,1001.670,297.000,,
WES_trial2_03_20220812_NR,2023-08-09 15:08:01,,/Users/queen_nishika/Downloads/WES_trial2_03_20220812.mov,2032.750,30.0,Pool 4,Hiding,,,STATE,704.917,2032.597,1327.680,,
WES_trial1_05_20220812,2023-08-18 13:15:40,,/Users/queen_nishika/Downloads/WES_trial1_05_20220812.mov,2197.000,30.0,Pool 2,Open,,,STATE,705.165,727.436,22.271,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 5,Hiding,,,STATE,705.884,713.905,8.021,,
WES_trial2_01_20220812_NR,2023-08-09 11:08:37,,/Users/queen_nishika/Downloads/WES_trial2_01_20220812.mov,2021.630,30.0,Pool 2,Hiding,,,STATE,707.167,2021.573,1314.406,,
WES_trial1_04_20220812_NR,2023-08-15 10:48:35,,/Users/queen_nishika/Downloads/WES_trial1_04_20220812.mov,2159.581,30.0,Pool 3,Hiding,,,STATE,707.693,1094.443,386.750,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 3,Open,,,STATE,708.413,759.697,51.284,,
BR_trial3_02_20220808,2024-02-27 13:51:18,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial3_02_20220808.mov,2207.900,30.0,Pool 4,Open,,,STATE,708.564,722.942,14.378,,
BR_trial1_02_20220808,2024-02-13 14:30:42,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial1_02_20220808.mov,2093.970,30.0,Pool 2,Open,,,STATE,709.165,711.913,2.748,,
WES_trial2_03_20220808,2023-08-29 09:57:04,,/Users/queen_nishika/Downloads/WES_trial2_03_20220808.mov,2198.700,30.0,Pool 5,Open,,,STATE,709.630,723.885,14.255,,
WES_trial1_02_20220812,2023-09-20 16:01:05,,/Users/queen_nishika/Downloads/WES_trial1_02_20220812.mov,2539.230,30.0,Pool 5,Hiding,,,STATE,710.933,1253.163,542.230,,
WES_trial1_03_20220812_NR,2023-08-08 10:29:42,,/Users/queen_nishika/Downloads/WES_trial1_03_20220812.mov,1948.900,30.0,Pool 3,Hiding,,,STATE,712.426,874.434,162.008,,
BR_trial1_02_20220808,2024-02-13 14:30:42,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/BR_trial1_02_20220808.mov,2093.970,30.0,Pool 2,Hiding,,,STATE,712.908,2092.431,1379.523,,
WES_trial1_03_20220808_NR,2023-08-11 16:00:11,,/Users/queen_nishika/Downloads/WES_trial1_03_20220808.mov,2039.530,30.0,Pool 5,Open,,,STATE,713.905,716.665,2.760,,
WES_trial1_02_20220808,2024-02-27 13:58:54,,/Volumes/ExFAT_files/Texas - Borris NR/Videos/WES_trial1_02_20220808.mov,2132.630,30.0,Pool 6,Open,,,STATE,715.881,756.391,40.510,,
