collection.date,dissection.date,collection.site,fish.id,species,sex,sex.label,sex.species,tremr,treml,unk,totalpara,notes,label.notes
,,,,,,,,,,,,,
8/6/22,2/16/23,WES,P.formosa,formosa,F,not listed,formosaF,0,0,0,0,well preserved,
,,,,,,,,,,,,,
8/6/22,2/16/23,WES,P.formosa,formosa,F,not listed,formosaF,0,1,0,1,,no fish number or sex on the label with the specimen 
,,,,,,,,,,,,,
8/6/22,2/16/23,WES,P.formosa,formosa,F,not listed,formosaF,0,0,2,2,Poorly preserved,no fish number or sex on the label with the specimen 
,,,,,,,,,,,,,
8/6/22,3/2/23,WES,P.formosa,formosa,F,not listed,formosaF,1,0,3,4,Poorly preserved,no fish number or sex on the label with the specimen 
,,,,,,,,,,,,,
8/6/22,2/9/23,WES,P.latipinna,latipinna,NA,not listed,latipinnaNA,1,2,0,3,poorly preserved ,no fish number or sex on the label with the specimen 
,,,,,,,,,,,,,
8/6/22,2/9/23,WES,P.latipinna,latipinna,NA,not listed,latipinnaNA,0,0,0,0,medium preserved,no fish number or sex on the label with the specimen 
,,,,,,,,,,,,,
8/8/22,2/1/23,BR-OP,PF-01,formosa,F,F,formosaF,14,13,9,36,well preserved,
,,,,,,,,,,,,,
8/8/22,2/1/23,BR-OP,PF-02,formosa,F,F,formosaF,37,46,11,94,well preserved,
,,,,,,,,,,,,,
8/8/22,2/16/23,WES,PF-04,formosa,F,F,formosaF,0,0,0,0,good preserved ,
,,,,,,,,,,,,,
8/8/22,2/16/23,WES,PF-05,formosa,F,F,formosaF,0,0,0,0,well preserved,no fish number or sex on the label with the specimen 
,,,,,,,,,,,,,
8/8/22,2/27/23,WES,PF-07,formosa,F,F,formosaF,2,0,0,2,poorly preserved,
,,,,,,,,,,,,,
8/9/22,1/25/23,BR-OP,PF-08BR,formosa,F,F,formosaF,291,314,39,644,badly decomposed,
,,,,,,,,,,,,,
8/8/22,2/27/23,WES,PF-09,formosa,F,F,formosaF,0,0,0,0,well preserved,
,,,,,,,,,,,,,
8/8/22,3/19/23,WES,PF-10,formosa,F,F,formosaF,0,1,2,3,good preserved ,
,,,,,,,,,,,,,
8/8/22,2/27/23,WES,PF-11,formosa,F,F,formosaF,3,2,0,5,poorly preserved,
,,,,,,,,,,,,,
8/8/22,3/2/23,WES,PF-12,formosa,F,F,formosaF,0,0,0,0,,
,,,,,,,,,,,,,
8/8/22,2/16/23,WES,PF-13,formosa,F,F,formosaF,1,0,0,1,medium preservation,
,,,,,,,,,,,,,
8/8/22,2/27/23,WES,PF-14,formosa,F,F,formosaF,0,1,0,1,poorly preserved,
,,,,,,,,,,,,,
8/8/22,3/18/23,WES,PF-15,formosa,F,F,formosaF,4,2,0,6,well preserved ,
,,,,,,,,,,,,,
8/8/22,2/27/23,WES,PF-16,formosa,F,F,formosaF,1,0,0,1,poorly preserved,
,,,,,,,,,,,,,
8/8/22,2/27/23,WES,PF-17,formosa,F,F,formosaF,0,0,0,0,well preserved,
,,,,,,,,,,,,,
8/8/22,3/19/23,WES,PF-18,formosa,F,F,formosaF,3,2,1,6,medium preservation,
,,,,,,,,,,,,,
8/8/22,2/23/23,WES,PF-19,formosa,F,F,formosaF,1,2,2,5,Poorly preserved,
,,,,,,,,,,,,,
8/8/22,2/27/23,WES,PF-20,formosa,F,F,formosaF,19,14,3,36,poorly preserved,
,,,,,,,,,,,,,
8/8/22,4/1/23,WES,PF-21,formosa,F,F,formosaF,31,23,1,55,medium preservation,
,,,,,,,,,,,,,
8/8/22,4/6/23,WES,PF-22,formosa,F,F,formosaF,0,0,0,0,,
,,,,,,,,,,,,,
8/8/22,2/16/23,WES,PF-23,formosa,F,F,formosaF,0,0,0,0,good preserved ,
,,,,,,,,,,,,,
8/8/22,2/16/23,WES,PF-24,formosa,F,F,formosaF,2,1,0,3,medium preservation,
,,,,,,,,,,,,,
8/9/22,4/6/23,WES,PF-25B,formosa,F,F,formosaF,2,1,6,9,poorly preserved,the B in the sample name was on the original label 
,,,,,,,,,,,,,
8/9/22,4/1/23,WES,PF-26,formosa,F,F,formosaF,4,6,2,12,Poorly preserved,
,,,,,,,,,,,,,
8/9/22,2/28/23,WES,PF-27,formosa,F,F,formosaF,0,0,0,0,poorly preserved,
,,,,,,,,,,,,,
8/8/22,3/2/23,WES,PF-28,formosa,F,F,formosaF,3,0,0,3,poorly preserved,
,,,,,,,,,,,,,
8/9/22,2/16/23,WES,PF-29,formosa,F,F,formosaF,5,3,0,8,Poorly preserved,
,,,,,,,,,,,,,
8/8/22,4/5/23,WES,PF-3,formosa,F,F,formosaF,72,105,4,181,poorly preserved,
,,,,,,,,,,,,,
8/9/22,2/28/23,WES,PF-30,formosa,F,F,formosaF,2,0,0,2,,
,,,,,,,,,,,,,
8/9/22,2/28/23,WES,PF-31,formosa,F,F,formosaF,0,2,0,2,poorly preserved,
,,,,,,,,,,,,,
8/9/22,2/23/23,WES,PF-32,formosa,F,F,formosaF,11,23,4,38,very poorly preserved,
,,,,,,,,,,,,,
8/9/22,2/16/23,WES,PF-33,formosa,F,F,formosaF,0,0,0,0,very poorly preserved,
,,,,,,,,,,,,,
8/11/22,1/24/23,BR-OP,PF-34,formosa,F,F,formosaF,20,35,8,63,badly decomposed,
,,,,,,,,,,,,,
8/11/22,1/24/23,BR-OP,PF-35,formosa,F,F,formosaF,13,27,4,44,badly decomposed,
,,,,,,,,,,,,,
8/11/22,4/6/23,BR-OP,PF-36,formosa,F,F,formosaF,49,35,1,85,,
,,,,,,,,,,,,,
8/11/22,2/14/23,BR-OP,PF-37,formosa,F,F,formosaF,201,169,20,390,Poorly preserved,
,,,,,,,,,,,,,
8/11/22,2/3/23,BR-OP,PF-38,formosa,F,F,formosaF,73,55,2,130,medium preserved ,
,,,,,,,,,,,,,
8/11/22,2/14/23,BR-OP,PF-39,formosa,F,F,formosaF,66,64,14,144,well preserved,
,,,,,,,,,,,,,
8/11/22,2/2/23,BR-OP,PF-40,formosa,F,F,formosaF,2,0,0,2,medium preserved,
,,,,,,,,,,,,,
8/11/22,1/24/23,BR-OP,PF-41,formosa,F,F,formosaF,21,24,5,50,poorly preserved,
,,,,,,,,,,,,,
8/12/22,4/6/23,WES,PF-42,formosa,F,F,formosaF,4,3,0,7,poorly preserved,
,,,,,,,,,,,,,
8/12/22,2/15/23,WES,PF-43,formosa,F,F,formosaF,2,1,0,3,well preserved,
,,,,,,,,,,,,,
